nquest,NCOMP,nord,sex,anasc,staciv,ireg,PERC,AREA5
173,1,1,1,1948,3,18,1,4
375,1,1,2,1925,4,16,1,4
633,1,1,2,1934,4,5,1,2
923,1,1,2,1932,4,13,1,4
1367,2,1,1,1927,1,18,1,4
1367,2,2,2,1930,1,18,1,4
1763,2,1,1,1947,1,17,1,4
1763,2,2,2,1954,1,17,1,4
1946,1,1,1,1953,2,5,1,2
2886,3,1,1,1949,1,13,1,4
2886,3,2,2,1952,1,13,1,4
2886,3,3,1,1977,2,13,0,4
3717,1,1,2,1954,2,16,1,4
5416,5,1,2,1958,3,8,1,2
5416,5,2,2,1979,2,8,1,2
5416,5,3,2,1991,2,8,1,2
5416,5,4,1,1981,2,8,1,2
5416,5,5,2,2011,2,8,0,2
7886,2,1,1,1950,1,9,1,3
7886,2,2,2,1953,1,9,1,3
11972,2,1,2,1948,1,17,1,4
11972,2,2,1,1938,1,17,1,4
20297,2,1,1,1960,1,5,1,2
20297,2,2,2,1979,1,5,1,2
20711,2,1,2,1945,1,4,0,2
20711,2,2,1,1944,1,4,1,2
20837,2,1,1,1931,1,8,1,2
20837,2,2,2,1928,1,8,1,2
22099,2,1,1,1958,1,15,1,4
22099,2,2,2,1962,1,15,0,4
22169,2,1,2,1944,1,15,1,4
22169,2,2,1,1937,1,15,1,4
22173,4,1,1,1938,1,15,1,4
22173,4,2,2,1935,1,15,0,4
22173,4,3,2,1975,3,15,1,4
22173,4,4,2,2011,2,15,0,4
22208,1,1,2,1935,4,5,1,2
22276,2,1,1,1949,2,8,1,2
22276,2,2,2,1923,4,8,1,2
22286,2,1,1,1950,1,8,1,2
22286,2,2,2,1956,1,8,1,2
22624,4,1,1,1957,1,15,1,4
22624,4,2,2,1961,1,15,0,4
22624,4,3,2,1995,2,15,0,4
22624,4,4,2,1997,2,15,0,4
22657,2,1,2,1951,1,16,1,4
22657,2,2,1,1946,1,16,1,4
22996,2,1,1,1934,1,1,1,1
22996,2,2,2,1942,1,1,1,1
23370,2,1,1,1942,1,6,1,2
23370,2,2,2,1942,1,6,0,2
23490,1,1,2,1937,2,5,1,2
23797,2,1,1,1955,1,15,1,4
23797,2,2,2,1958,1,15,0,4
23821,2,1,2,1936,4,16,1,4
23821,2,2,2,1968,2,16,0,4
23823,2,1,2,1937,4,16,1,4
23823,2,2,2,1972,2,16,1,4
24147,2,1,1,1948,1,4,1,2
24147,2,2,2,1958,1,4,1,2
24149,1,1,1,1923,4,4,1,2
24194,4,1,1,1952,1,8,1,2
24194,4,2,2,1960,1,8,1,2
24194,4,3,1,1984,2,8,1,2
24194,4,4,2,1990,2,8,1,2
24382,1,1,2,1949,4,13,1,4
24616,2,1,1,1939,1,8,1,2
24616,2,2,2,1944,1,8,1,2
24760,1,1,2,1920,4,17,1,4
24764,5,1,2,1966,1,17,0,4
24764,5,2,1,1963,1,17,1,4
24764,5,3,2,1996,2,17,1,4
24764,5,4,2,1998,2,17,0,4
24764,5,5,1,2007,2,17,0,4
24809,2,1,2,1939,1,16,0,4
24809,2,2,1,1930,1,16,1,4
24853,2,1,1,1957,1,11,1,3
24853,2,2,2,1962,1,11,1,3
25007,1,1,2,1934,4,19,1,5
26349,1,1,2,1938,4,7,1,1
27109,1,1,2,1925,4,19,1,5
27114,1,1,2,1938,4,19,1,5
27116,1,1,2,1940,4,19,1,5
27157,4,1,1,1960,1,19,1,5
27157,4,2,2,1963,1,19,1,5
27157,4,3,2,1990,2,19,0,5
27157,4,4,1,1996,2,19,0,5
27238,2,1,1,1952,1,12,1,3
27238,2,2,2,1961,1,12,1,3
27509,1,1,2,1934,4,8,1,2
27730,4,1,2,1949,1,20,0,5
27730,4,2,1,1939,1,20,1,5
27730,4,3,2,1972,2,20,0,5
27730,4,4,1,1985,2,20,1,5
27734,2,1,2,1951,1,20,0,5
27734,2,2,1,1947,1,20,1,5
27739,1,1,2,1938,4,20,1,5
27742,1,1,2,1932,4,20,1,5
27912,3,1,1,1948,1,13,1,4
27912,3,2,2,1954,1,13,1,4
27912,3,3,1,1985,2,13,1,4
27923,4,1,1,1951,1,13,1,4
27923,4,2,2,1957,1,13,0,4
27923,4,3,1,1992,2,13,0,4
27923,4,4,1,2000,2,13,0,4
27947,2,1,1,1933,1,13,1,4
27947,2,2,2,1932,1,13,1,4
28362,1,1,1,1928,4,9,1,3
28441,2,1,1,1950,1,9,1,3
28441,2,2,2,1958,1,9,0,3
28802,2,1,2,1960,1,1,1,1
28802,2,2,1,1956,1,1,1,1
28859,1,1,2,1930,4,8,1,2
28992,2,1,1,1931,1,20,1,5
28992,2,2,2,1941,1,20,0,5
29140,2,1,1,1949,1,9,1,3
29140,2,2,2,1952,1,9,1,3
29678,2,1,1,1933,1,19,1,5
29678,2,2,2,1937,1,19,0,5
29680,4,1,1,1964,1,19,1,5
29680,4,2,2,1970,1,19,1,5
29680,4,3,1,1990,2,19,0,5
29680,4,4,1,1994,2,19,1,5
29737,2,1,1,1951,1,16,1,4
29737,2,2,2,1953,1,16,1,4
29742,4,1,1,1952,1,16,1,4
29742,4,2,2,1954,1,16,1,4
29742,4,3,2,1975,2,16,1,4
